stimulus,target,n_runs,mean_of_run_means_ms,sd_between_runs_ms,mean_of_run_medians_ms,mean_within_run_sd_ms,median_n_per_run,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,run_mean_ms_run_01,run_mean_ms_run_02,run_mean_ms_run_03,run_mean_ms_run_04,run_mean_ms_run_05,run_mean_ms_run_06,run_mean_ms_run_07,run_mean_ms_run_08,run_mean_ms_run_09,run_mean_ms_run_10,run_median_ms_run_01,run_median_ms_run_02,run_median_ms_run_03,run_median_ms_run_04,run_median_ms_run_05,run_median_ms_run_06,run_median_ms_run_07,run_median_ms_run_08,run_median_ms_run_09,run_median_ms_run_10,within_run_sd_ms_run_01,within_run_sd_ms_run_02,within_run_sd_ms_run_03,within_run_sd_ms_run_04,within_run_sd_ms_run_05,within_run_sd_ms_run_06,within_run_sd_ms_run_07,within_run_sd_ms_run_08,within_run_sd_ms_run_09,within_run_sd_ms_run_10
Overall,W1 Peak,10,0.04674560200374175,0.0005277323607163084,0.0409599726775956,0.0607535131233312,2831.5,2837.0,2828.0,2830.0,2835.0,2831.0,2832.0,2835.0,2827.0,2831.0,2832.0,0.047269281123175196,0.046753462448118316,0.047183572766417554,0.04671026161081714,0.0467328547328272,0.04660064688107805,0.04734597194514314,0.04705977759350213,0.04615411968969622,0.04564607124664256,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.06395306742615835,0.06290363688081298,0.06101092868303174,0.062299328694242775,0.057642810600638174,0.05991903878698618,0.06143315864939913,0.061313268020221745,0.061159377418924445,0.05590051607289649
Overall,W1 Trough,10,0.02891380860858473,0.0004242462551768285,0.0204799863387978,0.04826810227604524,2837.5,2838.0,2840.0,2835.0,2839.0,2835.0,2837.0,2835.0,2836.0,2838.0,2839.0,0.029716907590968764,0.029349839577079952,0.028549173196094856,0.028840783861399655,0.028332453763938264,0.028630111321703237,0.028910372249689172,0.02911682119817798,0.028547859744990876,0.029143763581804552,0.0409599726775956,0.0,0.0,0.0409599726775956,0.0,0.0409599726775956,0.0409599726775956,0.0,0.0,0.0409599726775956,0.05125976401421687,0.052267358998365133,0.047943311087480546,0.046815730474404765,0.04699443912901295,0.04552207926304867,0.04551035579996225,0.04959846118785394,0.047413436006140064,0.04935608679996725
Overall,W3 Peak,10,0.02592101985954673,0.000575070800348389,0.0,0.043033820274753005,2853.5,2856.0,2855.0,2853.0,2853.0,2853.0,2854.0,2852.0,2854.0,2854.0,2851.0,0.026030234737337545,0.024848571866057996,0.025942751709924734,0.025512047475670308,0.026430883175413075,0.02693828616532829,0.025822591470658098,0.0262206972957138,0.025431349539137848,0.026032785160225617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043075705508402715,0.039239467305266916,0.04410312669257007,0.04224801243099791,0.04450495150104185,0.04349143325386294,0.04274205129116118,0.04256822219452981,0.043796270427790954,0.04456896214190568
Overall,W3 Trough,10,0.08877505816894035,0.0009868927992552157,0.07782394808743165,0.09730657930908848,2797.0,2796.0,2795.0,2800.0,2795.0,2798.0,2799.0,2793.0,2797.0,2798.0,2797.0,0.08763324626515628,0.0874301241483132,0.08921959762880559,0.0884559553066072,0.08975182004515321,0.08913440285074486,0.088313983338518,0.08798266565856076,0.08926873244745462,0.09056005400008983,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0409599726775956,0.0819199453551912,0.0819199453551912,0.09579402462454664,0.09489115855648202,0.09817528959237053,0.09456601647629033,0.09826116304220996,0.09880795006944378,0.09662081508438736,0.09988965299536502,0.09602353367968959,0.10003618897009957
Overall,all targets,10,0.04741120563492729,0.00025050926637947983,0.0409599726775956,0.07029693303555579,11318.5,11327.0,11318.0,11318.0,11322.0,11317.0,11322.0,11315.0,11314.0,11321.0,11319.0,0.04747986591832174,0.04690600864766891,0.047561049737494386,0.04719332658357487,0.047641258315383135,0.04765639640363602,0.04741438109864315,0.04742219216049363,0.04717216886940125,0.04766540861465583,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.07076496494604766,0.0699340029528794,0.07083710418729444,0.06928963297904067,0.07010901312208373,0.07022185297422112,0.0696027483417334,0.07129338673988496,0.07003285501185176,0.07088376910052069
Click,W1 Peak,10,0.03306944192193058,0.0009153022754258527,0.0409599726775956,0.04907218648988961,707.0,707.0,707.0,706.0,706.0,707.0,707.0,707.0,705.0,706.0,707.0,0.03441332923690493,0.03250147761263244,0.0329536324091704,0.0330696663261041,0.03423952454378926,0.03319669638509517,0.03279115210115857,0.033871863930550694,0.031503208447499174,0.03215386822640108,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.04575412670737415,0.05467285421873988,0.04812017629794962,0.048139365736394914,0.052930770813488556,0.04787750493102492,0.049350751330889064,0.04824982066427574,0.04939747353933455,0.04622902065942476
Click,W1 Trough,10,0.02161541304313762,0.0008830031525980522,0.0,0.039719145501440276,707.0,708.0,708.0,707.0,707.0,707.0,707.0,706.0,706.0,707.0,707.0,0.020595692476305133,0.023314786707727443,0.02189939133257587,0.020740693378471325,0.02062482358306087,0.02166765174175496,0.022278512051270127,0.020944122006532596,0.02201526112798632,0.02207319602569155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04113324720789022,0.048606494994581466,0.0395400831015302,0.03643803463571091,0.03676331262741999,0.03912485100782719,0.03521614458962045,0.03664900590474726,0.04095291484402667,0.0427673661010484
Click,W3 Peak,10,0.01735968878462017,0.0004941891083608766,0.0,0.03702167668128431,710.0,711.0,710.0,710.0,710.0,711.0,711.0,710.0,709.0,710.0,710.0,0.017858778523283596,0.01690319999230354,0.01730703070884321,0.016557059378126675,0.017513124745413593,0.01734029785647859,0.017595481220657266,0.016984812365603816,0.017249340606480403,0.018287762449010998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038486483428265675,0.03356442467941681,0.03746722665611502,0.036369515907975325,0.0394321020163326,0.035441468576294995,0.037490569685978935,0.03309063603605111,0.039611429890056456,0.039262909936356186
Click,W3 Trough,10,0.05930017210485435,0.0013849521323716972,0.0409599726775956,0.07021610643368821,701.0,701.0,700.0,700.0,702.0,702.0,702.0,700.0,700.0,702.0,701.0,0.058606066470225954,0.057812075722092085,0.058631275175643996,0.05887266728161534,0.06091483116155244,0.06132326393753987,0.05904087490241996,0.05710990476190474,0.060039618070150826,0.060651143565398344,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.07254648374373603,0.06815827961651237,0.06773792893333351,0.06850320539815595,0.07294708591558376,0.07278465930349262,0.0653003824238058,0.07050658705805703,0.0713765885308287,0.07229986341337627
Click,all targets,10,0.0327625715016512,0.0004039072742841425,0.0409599726775956,0.05324472183107169,2825.0,2827.0,2825.0,2823.0,2825.0,2827.0,2827.0,2823.0,2820.0,2825.0,2825.0,0.03278826252897024,0.03255049156148748,0.03261708061609455,0.032246010348662875,0.03325190565797025,0.03330986104909526,0.03284923065606676,0.03215793599581442,0.032637486193723086,0.03321745040862709,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.05367847519686851,0.05488715328958235,0.05210069064889056,0.05175761210943638,0.05514276102760351,0.05364476491079938,0.05084419168087672,0.051669092963099725,0.054422196724296434,0.05430027975926338
4 kHz,W1 Peak,10,0.05718838340421217,0.00208503255893516,0.0409599726775956,0.0656500179100519,506.0,509.0,505.0,505.0,506.0,506.0,506.0,508.0,505.0,507.0,505.0,0.06035359431865758,0.055397349185738215,0.058236159173294354,0.05601640532192917,0.05553071394630551,0.058040119387027765,0.05966610193193061,0.05815505031650703,0.05687538612431422,0.053612954336417225,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.0409599726775956,0.08321772287679993,0.05644938454054604,0.06520292993731963,0.07289932888128316,0.053575088014081326,0.07343026237881117,0.07124838851778931,0.06676287028289503,0.06449287081356388,0.0492213328574296
