stimulus,mean_accuracy,sd_between_runs,n_runs,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,n_correct_run_01,n_correct_run_02,n_correct_run_03,n_correct_run_04,n_correct_run_05,n_correct_run_06,n_correct_run_07,n_correct_run_08,n_correct_run_09,n_correct_run_10,accuracy_run_01,accuracy_run_02,accuracy_run_03,accuracy_run_04,accuracy_run_05,accuracy_run_06,accuracy_run_07,accuracy_run_08,accuracy_run_09,accuracy_run_10
Overall,98.84125043660495,0.033454058710435476,10,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11327.0,11318.0,11318.0,11322.0,11317.0,11322.0,11315.0,11314.0,11321.0,11319.0,98.90848760041914,98.82989870764932,98.82989870764932,98.8648271044359,98.82116660845267,98.8648271044359,98.80370241005937,98.79497031086272,98.85609500523927,98.83863080684596
Click,98.90406162464987,0.07750680539628338,10,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2827.0,2825.0,2823.0,2825.0,2827.0,2827.0,2823.0,2820.0,2825.0,2825.0,98.98459383753502,98.91456582633053,98.84453781512606,98.91456582633053,98.98459383753502,98.98459383753502,98.84453781512606,98.73949579831933,98.91456582633053,98.91456582633053
4 kHz,97.9312015503876,0.12096242449014132,10,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2027.0,2019.0,2019.0,2021.0,2020.0,2020.0,2020.0,2024.0,2022.0,2021.0,98.20736434108527,97.81976744186046,97.81976744186046,97.91666666666666,97.86821705426357,97.86821705426357,97.86821705426357,98.06201550387597,97.96511627906976,97.91666666666666
8 kHz,98.41354723707664,0.09204951506137861,10,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2206.0,2207.0,2211.0,2211.0,2207.0,2206.0,2209.0,2209.0,2207.0,2211.0,98.30659536541889,98.3511586452763,98.52941176470588,98.52941176470588,98.3511586452763,98.30659536541889,98.44028520499108,98.44028520499108,98.3511586452763,98.52941176470588
10 kHz,99.48473282442748,0.07040694535998253,10,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2087.0,2086.0,2085.0,2084.0,2085.0,2087.0,2085.0,2082.0,2086.0,2085.0,99.57061068702289,99.52290076335878,99.47519083969466,99.42748091603053,99.47519083969466,99.57061068702289,99.47519083969466,99.33206106870229,99.52290076335878,99.47519083969466
16 kHz,99.43886861313868,0.07465290577027547,10,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2180.0,2181.0,2180.0,2181.0,2178.0,2182.0,2178.0,2179.0,2181.0,2177.0,99.45255474452554,99.49817518248175,99.45255474452554,99.49817518248175,99.36131386861314,99.54379562043796,99.36131386861314,99.40693430656934,99.49817518248175,99.31569343065694
