stimulus,target,sound_level,mean_p90_ms,sd_between_runs_ms,n_runs,median_n_per_run,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,run_p90_ms_run_01,run_p90_ms_run_02,run_p90_ms_run_03,run_p90_ms_run_04,run_p90_ms_run_05,run_p90_ms_run_06,run_p90_ms_run_07,run_p90_ms_run_08,run_p90_ms_run_09,run_p90_ms_run_10
Overall,all targets,10,0.2007038661202185,0.012952680655946782,10,250.0,250.0,251.0,249.0,252.0,248.0,250.0,250.0,247.0,250.0,251.0,0.2047998633879781,0.2047998633879781,0.1638398907103825,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781,0.2047998633879781
Overall,all targets,20,0.13926390710382508,0.020342994926137146,10,731.0,732.0,731.0,731.0,732.0,732.0,730.0,732.0,730.0,731.0,731.0,0.159743893442622,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1269759153005473,0.1638398907103825,0.1638398907103825,0.1228799180327868,0.1638398907103825
Overall,all targets,30,0.12287991803278682,0.0,10,1001.5,1002.0,1003.0,1000.0,1001.0,1001.0,1002.0,1001.0,1000.0,1002.0,1002.0,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868
Overall,all targets,40,0.12287991803278682,0.0,10,1488.0,1494.0,1486.0,1487.0,1491.0,1488.0,1489.0,1488.0,1488.0,1486.0,1486.0,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868
Overall,all targets,50,0.12287991803278682,0.0,10,1903.0,1905.0,1902.0,1903.0,1904.0,1902.0,1904.0,1903.0,1903.0,1904.0,1903.0,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868
Overall,all targets,60,0.09011193989071033,0.017270240874595704,10,1948.0,1949.0,1948.0,1949.0,1945.0,1949.0,1947.0,1944.0,1947.0,1950.0,1948.0,0.0819199453551912,0.0819199453551912,0.1228799180327868,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.1228799180327868,0.0819199453551912,0.0819199453551912,0.0819199453551912
Overall,all targets,70,0.0819199453551912,0.0,10,1960.0,1959.0,1959.0,1960.0,1960.0,1959.0,1961.0,1959.0,1961.0,1960.0,1960.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
Overall,all targets,80,0.11878392076502724,0.012952680655946779,10,2038.0,2036.0,2038.0,2039.0,2037.0,2038.0,2039.0,2038.0,2038.0,2038.0,2038.0,0.0819199453551912,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868,0.1228799180327868
Click,W1 Peak,30,0.12410871721311467,0.022355624718153104,10,52.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0819199453551912,0.11468792349726786,0.1228799180327868,0.15974389344262285,0.1228799180327868,0.11878392076502718,0.11878392076502718,0.1228799180327868,0.11878392076502718,0.15974389344262285
Click,W1 Peak,40,0.0819199453551912,0.0,10,117.0,117.0,117.0,117.0,118.0,118.0,118.0,118.0,117.0,117.0,117.0,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912,0.0819199453551912
