stimulus,mean_accuracy,sd_between_runs,n_runs,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,n_correct_run_01,n_correct_run_02,n_correct_run_03,n_correct_run_04,n_correct_run_05,n_correct_run_06,n_correct_run_07,n_correct_run_08,n_correct_run_09,n_correct_run_10,accuracy_run_01,accuracy_run_02,accuracy_run_03,accuracy_run_04,accuracy_run_05,accuracy_run_06,accuracy_run_07,accuracy_run_08,accuracy_run_09,accuracy_run_10
Overall,98.89626266154383,0.038658651102303494,10,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11452.0,11323.0,11326.0,11325.0,11329.0,11326.0,11323.0,11317.0,11324.0,11330.0,11333.0,98.87355920363255,98.8997555012225,98.89102340202585,98.92595179881243,98.8997555012225,98.87355920363255,98.82116660845267,98.8822913028292,98.93468389800908,98.96088019559902
Click,98.99859943977592,0.05006445048909525,10,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2856.0,2827.0,2829.0,2828.0,2827.0,2827.0,2828.0,2828.0,2829.0,2824.0,2827.0,98.98459383753502,99.0546218487395,99.01960784313727,98.98459383753502,98.98459383753502,99.01960784313727,99.01960784313727,99.0546218487395,98.8795518207283,98.98459383753502
4 kHz,98.16375968992247,0.21960261528947025,10,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2064.0,2021.0,2025.0,2023.0,2030.0,2030.0,2025.0,2018.0,2027.0,2032.0,2030.0,97.91666666666666,98.11046511627907,98.01356589147287,98.35271317829456,98.35271317829456,98.11046511627907,97.77131782945736,98.20736434108527,98.44961240310077,98.35271317829456
8 kHz,98.3957219251337,0.06643101537432844,10,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2244.0,2210.0,2209.0,2208.0,2208.0,2206.0,2207.0,2209.0,2206.0,2210.0,2207.0,98.48484848484848,98.44028520499108,98.3957219251337,98.3957219251337,98.30659536541889,98.3511586452763,98.44028520499108,98.30659536541889,98.48484848484848,98.3511586452763
10 kHz,99.51812977099237,0.08549414793712057,10,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2096.0,2085.0,2085.0,2088.0,2086.0,2087.0,2084.0,2083.0,2086.0,2086.0,2089.0,99.47519083969466,99.47519083969466,99.61832061068702,99.52290076335878,99.57061068702289,99.42748091603053,99.37977099236642,99.52290076335878,99.52290076335878,99.66603053435115
16 kHz,99.37043795620437,0.0637961586478146,10,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2192.0,2180.0,2178.0,2178.0,2178.0,2176.0,2179.0,2179.0,2176.0,2178.0,2180.0,99.45255474452554,99.36131386861314,99.36131386861314,99.36131386861314,99.27007299270073,99.40693430656934,99.40693430656934,99.27007299270073,99.36131386861314,99.45255474452554
