stimulus,mean_accuracy,sd_between_runs,n_runs,n_per_run_run_01,n_per_run_run_02,n_per_run_run_03,n_per_run_run_04,n_per_run_run_05,n_per_run_run_06,n_per_run_run_07,n_per_run_run_08,n_per_run_run_09,n_per_run_run_10,n_correct_run_01,n_correct_run_02,n_correct_run_03,n_correct_run_04,n_correct_run_05,n_correct_run_06,n_correct_run_07,n_correct_run_08,n_correct_run_09,n_correct_run_10,accuracy_run_01,accuracy_run_02,accuracy_run_03,accuracy_run_04,accuracy_run_05,accuracy_run_06,accuracy_run_07,accuracy_run_08,accuracy_run_09,accuracy_run_10
Overall,95.00302041802586,0.25492359948811105,10,16554.0,16554.0,16554.0,16554.0,16554.0,16554.0,16554.0,16554.0,16554.0,16554.0,15716.0,15714.0,15721.0,15751.0,15680.0,15697.0,15788.0,15661.0,15781.0,15759.0,94.9377793886674,94.92569771656397,94.96798356892594,95.14920865047722,94.72030929080584,94.82300350368492,95.37271958439048,94.60553340582337,95.33043373202851,95.1975353388909
Click,97.01447245564893,0.1688471087264477,10,4284.0,4284.0,4284.0,4284.0,4284.0,4284.0,4284.0,4284.0,4284.0,4284.0,4152.0,4151.0,4159.0,4167.0,4155.0,4150.0,4162.0,4147.0,4167.0,4151.0,96.9187675070028,96.89542483660131,97.08216619981326,97.26890756302521,96.98879551820728,96.87208216619982,97.15219421101774,96.80205415499533,97.26890756302521,96.89542483660131
4 kHz,94.11605937921726,0.47505801884537674,10,2964.0,2964.0,2964.0,2964.0,2964.0,2964.0,2964.0,2964.0,2964.0,2964.0,2795.0,2772.0,2790.0,2808.0,2780.0,2780.0,2802.0,2769.0,2792.0,2808.0,94.2982456140351,93.52226720647774,94.12955465587044,94.73684210526315,93.79217273954116,93.79217273954116,94.53441295546558,93.42105263157895,94.1970310391363,94.73684210526315
8 kHz,94.06066536203522,0.3148920468882558,10,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,3066.0,2889.0,2889.0,2891.0,2881.0,2874.0,2867.0,2897.0,2873.0,2890.0,2888.0,94.22700587084148,94.22700587084148,94.29223744292237,93.96607958251793,93.73776908023484,93.50945857795173,94.48793215916503,93.70515329419439,94.25962165688193,94.19439008480104
10 kHz,95.57843137254902,0.5178704688702552,10,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,2911.0,2933.0,2913.0,2920.0,2914.0,2926.0,2943.0,2901.0,2952.0,2934.0,95.13071895424837,95.84967320261438,95.19607843137254,95.42483660130719,95.22875816993464,95.62091503267975,96.17647058823529,94.80392156862744,96.47058823529412,95.88235294117648
16 kHz,93.4748427672956,0.23776302352649706,10,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0,2969.0,2969.0,2968.0,2975.0,2957.0,2974.0,2984.0,2971.0,2980.0,2978.0,93.36477987421384,93.36477987421384,93.33333333333333,93.55345911949685,92.9874213836478,93.52201257861635,93.83647798742139,93.42767295597484,93.71069182389937,93.64779874213836
