run_id,strat,remove_frac,keep_frac,repeat_id,target,initial_mae_ms,adjusted_mae_ms,adjusted_accuracy_pct
freq_percent_rm0.65_r01,freq_percent,0.65,0.35,1,all targets,0.0697995542385175,0.010710092656217621,98.65269461077844
freq_percent_rm0.65_r01,freq_percent,0.65,0.35,1,target1,0.067857838966875,0.012263464873531624,98.50299401197606
freq_percent_rm0.65_r01,freq_percent,0.65,0.35,1,target2,0.043698813166017696,0.008053008600285768,99.00199600798403
freq_percent_rm0.65_r01,freq_percent,0.65,0.35,1,target3,0.03531877883577108,0.0014307375685786896,99.8003992015968
freq_percent_rm0.65_r01,freq_percent,0.65,0.35,1,target4,0.13232278598540625,0.021093159582474395,97.30538922155688
