run_id,strat,remove_frac,keep_frac,repeat_id,target,initial_mae_ms,adjusted_mae_ms,adjusted_accuracy_pct
freq_percent_rm0_r07,freq_percent,0.0,1.0,7,all targets,0.05551342437381783,0.008501733763067133,98.93468389800908
freq_percent_rm0_r07,freq_percent,0.0,1.0,7,target1,0.054393928089493046,0.008283557170914379,99.05693328676215
freq_percent_rm0_r07,freq_percent,0.0,1.0,7,target2,0.035380374583197344,0.00563682474152032,99.30143206426824
freq_percent_rm0_r07,freq_percent,0.0,1.0,7,target3,0.02948602992962787,0.0018884793550271123,99.75550122249389
freq_percent_rm0_r07,freq_percent,0.0,1.0,7,target4,0.10279336489295306,0.01819807378480672,97.62486901851204
